Q0,query001s3.sql
Q1,query010s3.sql
Q2,query013s3.sql
Q3,query013s3_spj.sql
Q4,query014s3.sql
Q5,query018s3_spj.sql
Q6,query019s3.sql
Q7,query019s3_spj.sql
Q8,query023s3.sql
Q9,query025s3.sql
Q10,query025s3_spj.sql
Q11,query027s3.sql
Q12,query027s3_spj.sql
Q13,query030s3.sql
Q14,query031s3.sql
Q15,query038s3.sql
Q16,query039as3.sql
Q17,query039bs3.sql
Q18,query040s3.sql
Q19,query040s3_spj.sql
Q20,query050s3.sql
Q21,query050s3_spj.sql
Q22,query054s3.sql
Q23,query058s3.sql
Q24,query059s3.sql
Q25,query064s3.sql
Q26,query065s3.sql
Q27,query069s3.sql
Q28,query072s3.sql
Q29,query072s3_spj.sql
Q30,query075s3.sql
Q31,query080s3.sql
Q32,query083s3.sql
Q33,query084s3.sql
Q34,query084s3_spj.sql
Q35,query085s3.sql
Q36,query085s3_spj.sql
Q37,query087s3.sql
Q38,query091s3.sql
Q39,query091s3_spj.sql
Q40,query094s3.sql
Q41,query099s3.sql
Q42,query099s3_spj.sql
Q43,query100s3.sql
Q44,query100s3_spj.sql
Q45,query101s3.sql
Q46,query101s3_spj.sql
Q47,query102s3.sql
Q48,query102s3_spj.sql
