Q0,query010s0.sql
Q1,query010s1.sql
Q2,query010s3.sql
Q3,query010s4.sql
Q4,query013s0_spj.sql
Q5,query013s1_spj.sql
Q6,query013s3_spj.sql
Q7,query013s4_spj.sql
Q8,query019s0.sql
Q9,query019s1.sql
Q10,query019s3.sql
Q11,query019s4.sql
Q12,query039as0.sql
Q13,query039as1.sql
Q14,query039as3.sql
Q15,query039bs0.sql
Q16,query039bs1.sql
Q17,query039bs3.sql
Q18,query039bs4.sql
Q19,query040s0.sql
Q20,query040s1.sql
Q21,query040s3.sql
Q22,query040s4.sql
Q23,query050s0.sql
Q24,query050s1.sql
Q25,query050s3.sql
Q26,query050s4.sql
Q27,query050s0_spj.sql
Q28,query050s1_spj.sql
Q29,query050s3_spj.sql
Q30,query075s0.sql
Q31,query075s1.sql
Q32,query075s3.sql
Q33,query084s0_spj.sql
Q34,query084s1_spj.sql
Q35,query084s3_spj.sql
Q36,query084s4_spj.sql
Q37,query094s0.sql
Q38,query094s1.sql
Q39,query094s3.sql
Q40,query094s4.sql
Q41,query102s0_spj.sql
Q42,query102s1_spj.sql
Q43,query102s3_spj.sql
Q44,query102s4_spj.sql
