Q0,query001s4.sql
Q1,query010s4.sql
Q2,query013s4.sql
Q3,query013s4_spj.sql
Q4,query014s4.sql
Q5,query018s4_spj.sql
Q6,query019s4.sql
Q7,query019s4_spj.sql
Q8,query023s4.sql
Q9,query025s4.sql
Q10,query025s4_spj.sql
Q11,query027s4.sql
Q12,query027s4_spj.sql
Q13,query030s4.sql
Q14,query031s4.sql
Q15,query038s4.sql
Q16,query039as4.sql
Q17,query039bs4.sql
Q18,query040s4.sql
Q19,query040s4_spj.sql
Q20,query050s4.sql
Q21,query050s4_spj.sql
Q22,query054s4.sql
Q23,query058s4.sql
Q24,query059s4.sql
Q25,query064s4.sql
Q26,query065s4.sql
Q27,query069s4.sql
Q28,query072s4.sql
Q29,query072s4_spj.sql
Q30,query075s4.sql
Q31,query080s4.sql
Q32,query083s4.sql
Q33,query084s4.sql
Q34,query084s4_spj.sql
Q35,query085s4.sql
Q36,query085s4_spj.sql
Q37,query087s4.sql
Q38,query091s4.sql
Q39,query091s4_spj.sql
Q40,query094s4.sql
Q41,query099s4.sql
Q42,query099s4_spj.sql
Q43,query100s4.sql
Q44,query100s4_spj.sql
Q45,query101s4.sql
Q46,query101s4_spj.sql
Q47,query102s4.sql
Q48,query102s4_spj.sql
