Q1,query001s0.sql
Q2,query010s0.sql
Q3,query013s0.sql
Q4,query013s0_spj.sql
Q5,query014s0.sql
Q6,query018s0_spj.sql
Q7,query019s0.sql
Q8,query019s0_spj.sql
Q9,query023s0.sql
Q10,query025s0.sql
Q11,query025s0_spj.sql
Q12,query027s0.sql
Q13,query027s0_spj.sql
Q14,query030s0.sql
Q15,query031s0.sql
Q16,query038s0.sql
Q17,query039as0.sql
Q18,query039bs0.sql
Q19,query040s0.sql
Q20,query040s0_spj.sql
Q21,query050s0.sql
Q22,query050s0_spj.sql
Q23,query054s0.sql
Q24,query058s0.sql
Q25,query059s0.sql
Q26,query064s0.sql
Q27,query065s0.sql
Q28,query069s0.sql
Q29,query072s0.sql
Q30,query072s0_spj.sql
Q31,query075s0.sql
Q32,query080s0.sql
Q33,query083s0.sql
Q34,query084s0.sql
Q35,query084s0_spj.sql
Q36,query085s0.sql
Q37,query085s0_spj.sql
Q38,query087s0.sql
Q39,query091s0.sql
Q40,query091s0_spj.sql
Q41,query094s0.sql
Q42,query099s0.sql
Q43,query099s0_spj.sql
Q44,query100s0.sql
Q45,query100s0_spj.sql
Q46,query101s0.sql
Q47,query101s0_spj.sql
Q48,query102s0.sql
Q49,query102s0_spj.sql
Q50,query001s1.sql
Q51,query010s1.sql
Q52,query013s1.sql
Q53,query013s1_spj.sql
Q54,query014s1.sql
Q55,query018s1_spj.sql
Q56,query019s1.sql
Q57,query019s1_spj.sql
Q58,query023s1.sql
Q59,query025s1.sql
Q60,query025s1_spj.sql
Q61,query027s1.sql
Q62,query027s1_spj.sql
Q63,query030s1.sql
Q64,query031s1.sql
Q65,query038s1.sql
Q66,query039as1.sql
Q67,query039bs1.sql
Q68,query040s1.sql
Q69,query040s1_spj.sql
Q70,query050s1.sql
Q71,query050s1_spj.sql
Q72,query054s1.sql
Q73,query058s1.sql
Q74,query059s1.sql
Q75,query064s1.sql
Q76,query065s1.sql
Q77,query069s1.sql
Q78,query072s1.sql
Q79,query072s1_spj.sql
Q80,query075s1.sql
Q81,query080s1.sql
Q82,query083s1.sql
Q83,query084s1.sql
Q84,query084s1_spj.sql
Q85,query085s1.sql
Q86,query085s1_spj.sql
Q87,query087s1.sql
Q88,query091s1.sql
Q89,query091s1_spj.sql
Q90,query094s1.sql
Q91,query099s1.sql
Q92,query099s1_spj.sql
Q93,query100s1.sql
Q94,query100s1_spj.sql
Q95,query101s1.sql
Q96,query101s1_spj.sql
Q97,query102s1.sql
Q98,query102s1_spj.sql
