Q0,query001s0.sql
Q1,query001s1.sql
Q2,query001s3.sql
Q3,query001s4.sql
Q4,query013s0.sql
Q5,query013s1.sql
Q6,query013s3.sql
Q7,query013s4.sql
Q8,query019s0.sql
Q9,query019s1.sql
Q10,query019s3.sql
Q11,query019s4.sql
Q12,query027s0.sql
Q13,query027s1.sql
Q14,query027s3.sql
Q15,query027s4.sql
Q16,query050s0.sql
Q17,query050s1.sql
Q18,query050s3.sql
Q19,query050s4.sql
Q20,query058s0.sql
Q21,query058s1.sql
Q22,query058s3.sql
Q23,query064s0.sql
Q24,query064s1.sql
Q25,query064s3.sql
Q26,query064s4.sql
Q27,query069s0.sql
Q28,query069s1.sql
Q29,query069s3.sql
Q30,query069s4.sql
Q31,query072s0.sql
Q32,query072s1.sql
Q33,query072s3.sql
Q34,query072s4.sql
Q35,query072s0_spj.sql
Q36,query072s1_spj.sql
Q37,query072s3_spj.sql
Q38,query083s0.sql
Q39,query083s1.sql
Q40,query083s3.sql
Q41,query084s0_spj.sql
Q42,query084s1_spj.sql
Q43,query084s3_spj.sql
Q44,query084s4_spj.sql
