Q0,query001s0.sql
Q1,query001s1.sql
Q2,query001s3.sql
Q3,query001s4.sql
Q4,query018s0_spj.sql
Q5,query018s1_spj.sql
Q6,query018s3_spj.sql
Q7,query018s4_spj.sql
Q8,query027s0.sql
Q9,query027s1.sql
Q10,query027s3.sql
Q11,query027s4.sql
Q12,query030s0.sql
Q13,query030s1.sql
Q14,query030s3.sql
Q15,query030s4.sql
Q16,query059s0.sql
Q17,query059s1.sql
Q18,query059s3.sql
Q19,query069s0.sql
Q20,query069s1.sql
Q21,query069s3.sql
Q22,query080s0.sql
Q23,query080s1.sql
Q24,query080s3.sql
Q25,query080s4.sql
Q26,query091s0.sql
Q27,query091s1.sql
Q28,query091s3.sql
Q29,query091s4.sql
Q30,query091s0_spj.sql
Q31,query091s1_spj.sql
Q32,query091s3_spj.sql
Q33,query099s0_spj.sql
Q34,query099s1_spj.sql
Q35,query099s3_spj.sql
Q36,query099s4_spj.sql
Q37,query100s0_spj.sql
Q38,query100s1_spj.sql
Q39,query100s3_spj.sql
Q40,query100s4_spj.sql
Q41,query101s0_spj.sql
Q42,query101s1_spj.sql
Q43,query101s3_spj.sql
Q44,query101s4_spj.sql
