Q0,query030s0.sql
Q1,query030s1.sql
Q2,query030s3.sql
Q3,query030s4.sql
Q4,query030s5.sql
Q5,query030s6.sql
Q6,query030s7.sql
Q7,query030s8.sql
Q8,query030s9.sql
Q9,query030s11.sql
Q10,query030s14.sql
Q11,query030s15.sql
Q12,query030s17.sql
Q13,query030s19.sql
Q14,query030s20.sql
Q15,query065s0.sql
Q16,query065s1.sql
Q17,query065s3.sql
Q18,query065s4.sql
Q19,query065s5.sql
Q20,query065s6.sql
Q21,query065s7.sql
Q22,query065s8.sql
Q23,query065s9.sql
Q24,query065s11.sql
Q25,query065s14.sql
Q26,query065s15.sql
Q27,query065s17.sql
Q28,query065s19.sql
Q29,query065s20.sql
Q30,query083s0.sql
Q31,query083s1.sql
Q32,query083s3.sql
Q33,query083s4.sql
Q34,query083s5.sql
Q35,query083s6.sql
Q36,query083s7.sql
Q37,query083s8.sql
Q38,query083s9.sql
Q39,query083s11.sql
Q40,query083s14.sql
Q41,query083s15.sql
Q42,query083s17.sql
Q43,query083s19.sql
Q44,query083s20.sql
