Q0,query013s0_spj.sql
Q1,query013s1_spj.sql
Q2,query013s3_spj.sql
Q3,query013s4_spj.sql
Q4,query018s0_spj.sql
Q5,query018s1_spj.sql
Q6,query018s3_spj.sql
Q7,query027s0_spj.sql
Q8,query027s1_spj.sql
Q9,query027s3_spj.sql
Q10,query027s4_spj.sql
Q11,query030s0.sql
Q12,query030s1.sql
Q13,query030s3.sql
Q14,query030s4.sql
Q15,query059s0.sql
Q16,query059s1.sql
Q17,query059s3.sql
Q18,query065s0.sql
Q19,query065s1.sql
Q20,query065s3.sql
Q21,query065s4.sql
Q22,query072s0.sql
Q23,query072s1.sql
Q24,query072s3.sql
Q25,query072s4.sql
Q26,query072s0_spj.sql
Q27,query072s1_spj.sql
Q28,query072s3_spj.sql
Q29,query072s4_spj.sql
Q30,query083s0.sql
Q31,query083s1.sql
Q32,query083s3.sql
Q33,query083s4.sql
Q34,query087s0.sql
Q35,query087s1.sql
Q36,query087s3.sql
Q37,query087s4.sql
Q38,query100s0_spj.sql
Q39,query100s1_spj.sql
Q40,query100s3_spj.sql
Q41,query101s0_spj.sql
Q42,query101s1_spj.sql
Q43,query101s3_spj.sql
Q44,query101s4_spj.sql
