Q0,query001s1.sql
Q1,query010s1.sql
Q2,query013s1.sql
Q3,query013s1_spj.sql
Q4,query014s1.sql
Q5,query018s1_spj.sql
Q6,query019s1.sql
Q7,query019s1_spj.sql
Q8,query023s1.sql
Q9,query025s1.sql
Q10,query025s1_spj.sql
Q11,query027s1.sql
Q12,query027s1_spj.sql
Q13,query030s1.sql
Q14,query031s1.sql
Q15,query038s1.sql
Q16,query039as1.sql
Q17,query039bs1.sql
Q18,query040s1.sql
Q19,query040s1_spj.sql
Q20,query050s1.sql
Q21,query050s1_spj.sql
Q22,query054s1.sql
Q23,query058s1.sql
Q24,query059s1.sql
Q25,query064s1.sql
Q26,query065s1.sql
Q27,query069s1.sql
Q28,query072s1.sql
Q29,query072s1_spj.sql
Q30,query075s1.sql
Q31,query080s1.sql
Q32,query083s1.sql
Q33,query084s1.sql
Q34,query084s1_spj.sql
Q35,query085s1.sql
Q36,query085s1_spj.sql
Q37,query087s1.sql
Q38,query091s1.sql
Q39,query091s1_spj.sql
Q40,query094s1.sql
Q41,query099s1.sql
Q42,query099s1_spj.sql
Q43,query100s1.sql
Q44,query100s1_spj.sql
Q45,query101s1.sql
Q46,query101s1_spj.sql
Q47,query102s1.sql
Q48,query102s1_spj.sql
