Q0,query040s0.sql
Q1,query040s1.sql
Q2,query040s3.sql
Q3,query040s4.sql
Q4,query040s5.sql
Q5,query040s6.sql
Q6,query040s7.sql
Q7,query040s8.sql
Q8,query040s9.sql
Q9,query040s11.sql
Q10,query040s14.sql
Q11,query040s15.sql
Q12,query040s17.sql
Q13,query040s19.sql
Q14,query040s20.sql
Q15,query050s0_spj.sql
Q16,query050s1_spj.sql
Q17,query050s3_spj.sql
Q18,query050s4_spj.sql
Q19,query050s5_spj.sql
Q20,query050s6_spj.sql
Q21,query050s7_spj.sql
Q22,query050s8_spj.sql
Q23,query050s9_spj.sql
Q24,query050s11_spj.sql
Q25,query050s14_spj.sql
Q26,query050s15_spj.sql
Q27,query050s17_spj.sql
Q28,query050s19_spj.sql
Q29,query050s20_spj.sql
Q30,query101s0_spj.sql
Q31,query101s1_spj.sql
Q32,query101s3_spj.sql
Q33,query101s4_spj.sql
Q34,query101s5_spj.sql
Q35,query101s6_spj.sql
Q36,query101s7_spj.sql
Q37,query101s8_spj.sql
Q38,query101s9_spj.sql
Q39,query101s11_spj.sql
Q40,query101s14_spj.sql
Q41,query101s15_spj.sql
Q42,query101s17_spj.sql
Q43,query101s19_spj.sql
Q44,query101s20_spj.sql
