Q0,query001s0.sql
Q1,query001s1.sql
Q2,query001s3.sql
Q3,query001s4.sql
Q4,query001s5.sql
Q5,query018s0_spj.sql
Q6,query018s1_spj.sql
Q7,query018s3_spj.sql
Q8,query018s4_spj.sql
Q9,query018s5_spj.sql
Q10,query018s6_spj.sql
Q11,query018s7_spj.sql
Q12,query018s8_spj.sql
Q13,query018s9_spj.sql
Q14,query018s11_spj.sql
Q15,query027s0.sql
Q16,query027s1.sql
Q17,query027s3.sql
Q18,query027s4.sql
Q19,query027s5.sql
Q20,query027s6.sql
Q21,query027s7.sql
Q22,query027s8.sql
Q23,query027s9.sql
Q24,query027s11.sql
Q25,query080s0.sql
Q26,query080s1.sql
Q27,query080s3.sql
Q28,query080s4.sql
Q29,query080s5.sql
Q30,query080s6.sql
Q31,query080s7.sql
Q32,query080s8.sql
Q33,query080s9.sql
Q34,query080s11.sql
Q35,query100s0_spj.sql
Q36,query100s1_spj.sql
Q37,query100s3_spj.sql
Q38,query100s4_spj.sql
Q39,query100s5_spj.sql
Q40,query101s0_spj.sql
Q41,query101s1_spj.sql
Q42,query101s3_spj.sql
Q43,query101s4_spj.sql
Q44,query101s5_spj.sql
