Q0,query001s0.sql
Q1,query001s1.sql
Q2,query001s3.sql
Q3,query001s4.sql
Q4,query019s0.sql
Q5,query019s1.sql
Q6,query019s3.sql
Q7,query019s4.sql
Q8,query027s0.sql
Q9,query027s1.sql
Q10,query027s3.sql
Q11,query027s4.sql
Q12,query039bs0.sql
Q13,query039bs1.sql
Q14,query039bs3.sql
Q15,query039bs4.sql
Q16,query040s0.sql
Q17,query040s1.sql
Q18,query040s3.sql
Q19,query040s4.sql
Q20,query040s0_spj.sql
Q21,query040s1_spj.sql
Q22,query040s3_spj.sql
Q23,query040s4_spj.sql
Q24,query050s0_spj.sql
Q25,query050s1_spj.sql
Q26,query050s3_spj.sql
Q27,query050s4_spj.sql
Q28,query058s0.sql
Q29,query058s1.sql
Q30,query058s3.sql
Q31,query058s4.sql
Q32,query091s0.sql
Q33,query091s1.sql
Q34,query091s3.sql
Q35,query094s0.sql
Q36,query094s1.sql
Q37,query094s3.sql
Q38,query101s0_spj.sql
Q39,query101s1_spj.sql
Q40,query101s3_spj.sql
Q41,query101s4_spj.sql
Q42,query102s0.sql
Q43,query102s1.sql
Q44,query102s3.sql
