Q0,query001s0.sql
Q1,query001s1.sql
Q2,query001s3.sql
Q3,query001s4.sql
Q4,query001s5.sql
Q5,query001s6.sql
Q6,query001s7.sql
Q7,query001s8.sql
Q8,query001s9.sql
Q9,query001s11.sql
Q10,query001s14.sql
Q11,query001s15.sql
Q12,query001s17.sql
Q13,query001s19.sql
Q14,query001s20.sql
Q15,query050s0.sql
Q16,query050s1.sql
Q17,query050s3.sql
Q18,query050s4.sql
Q19,query050s5.sql
Q20,query050s6.sql
Q21,query050s7.sql
Q22,query050s8.sql
Q23,query050s9.sql
Q24,query050s11.sql
Q25,query050s14.sql
Q26,query050s15.sql
Q27,query050s17.sql
Q28,query050s19.sql
Q29,query050s20.sql
Q30,query072s0.sql
Q31,query072s1.sql
Q32,query072s3.sql
Q33,query072s4.sql
Q34,query072s5.sql
Q35,query072s6.sql
Q36,query072s7.sql
Q37,query072s8.sql
Q38,query072s9.sql
Q39,query072s11.sql
Q40,query072s14.sql
Q41,query072s15.sql
Q42,query072s17.sql
Q43,query072s19.sql
Q44,query072s20.sql
