Q0,t12.sql
Q1,t15.sql
Q2,t45.sql
Q3,t16.sql
Q4,t17.sql
Q5,query018s0_spj.sql
Q6,query019s0.sql
Q7,query019s0_spj.sql
Q8,query023s0.sql
Q9,query025s0.sql
Q10,query025s0_spj.sql
Q11,query027s0.sql
Q12,query027s0_spj.sql
Q13,query030s0.sql
Q14,query031s0.sql
Q15,query038s0.sql
Q16,query039as0.sql
Q17,query039bs0.sql
Q18,query040s0.sql
Q19,query040s0_spj.sql
Q20,query050s0.sql
Q21,query050s0_spj.sql
Q22,query054s0.sql
Q23,query058s0.sql
Q24,query059s0.sql
Q25,query064s0.sql
Q26,query065s0.sql
Q27,query069s0.sql
Q28,query072s0.sql
Q29,query072s0_spj.sql
Q30,query075s0.sql
Q31,query080s0.sql
Q32,query083s0.sql
Q33,query084s0.sql
Q34,query084s0_spj.sql
Q35,query085s0.sql
Q36,query085s0_spj.sql
Q37,query087s0.sql
Q38,query091s0.sql
Q39,query091s0_spj.sql
Q40,query094s0.sql
Q41,query099s0.sql
Q42,query099s0_spj.sql
Q43,query100s0.sql
Q44,query100s0_spj.sql
Q45,query101s0.sql
Q46,query101s0_spj.sql
Q47,query102s0.sql
Q48,query102s0_spj.sql
