Q0,query013s0_spj.sql
Q1,query013s1_spj.sql
Q2,query013s3_spj.sql
Q3,query013s4_spj.sql
Q4,query013s5_spj.sql
Q5,query039bs0.sql
Q6,query039bs1.sql
Q7,query039bs3.sql
Q8,query039bs4.sql
Q9,query039bs5.sql
Q10,query039bs6.sql
Q11,query039bs7.sql
Q12,query039bs8.sql
Q13,query039bs9.sql
Q14,query039bs11.sql
Q15,query040s0.sql
Q16,query040s1.sql
Q17,query040s3.sql
Q18,query040s4.sql
Q19,query040s5.sql
Q20,query050s0.sql
Q21,query050s1.sql
Q22,query050s3.sql
Q23,query050s4.sql
Q24,query050s5.sql
Q25,query084s0_spj.sql
Q26,query084s1_spj.sql
Q27,query084s3_spj.sql
Q28,query084s4_spj.sql
Q29,query084s5_spj.sql
Q30,query084s6_spj.sql
Q31,query084s7_spj.sql
Q32,query084s8_spj.sql
Q33,query084s9_spj.sql
Q34,query084s11_spj.sql
Q35,query094s0.sql
Q36,query094s1.sql
Q37,query094s3.sql
Q38,query094s4.sql
Q39,query094s5.sql
Q40,query094s6.sql
Q41,query094s7.sql
Q42,query094s8.sql
Q43,query094s9.sql
Q44,query094s11.sql
