Q0,query013s0_spj.sql
Q1,query013s1_spj.sql
Q2,query013s3_spj.sql
Q3,query013s4_spj.sql
Q4,query013s5_spj.sql
Q5,query027s0_spj.sql
Q6,query027s1_spj.sql
Q7,query027s3_spj.sql
Q8,query030s0.sql
Q9,query030s1.sql
Q10,query030s3.sql
Q11,query030s4.sql
Q12,query030s5.sql
Q13,query030s6.sql
Q14,query030s7.sql
Q15,query065s0.sql
Q16,query065s1.sql
Q17,query065s3.sql
Q18,query065s4.sql
Q19,query065s5.sql
Q20,query065s6.sql
Q21,query065s7.sql
Q22,query072s0.sql
Q23,query072s1.sql
Q24,query072s3.sql
Q25,query072s4.sql
Q26,query072s5.sql
Q27,query072s0_spj.sql
Q28,query072s1_spj.sql
Q29,query072s3_spj.sql
Q30,query072s4_spj.sql
Q31,query072s5_spj.sql
Q32,query083s0.sql
Q33,query083s1.sql
Q34,query083s3.sql
Q35,query083s4.sql
Q36,query083s5.sql
Q37,query083s6.sql
Q38,query083s7.sql
Q39,query087s0.sql
Q40,query087s1.sql
Q41,query087s3.sql
Q42,query101s0_spj.sql
Q43,query101s1_spj.sql
Q44,query101s3_spj.sql
